index,Año,Trimestre,Provincia,Mbps (Media de bajada)
512,2019,1,Formosa,9,83
513,2019,1,Jujuy,8,56
514,2019,1,La Pampa,5,06
515,2019,1,La Rioja,7,09
516,2019,1,Mendoza,5,74
517,2019,1,Misiones,12,51
518,2019,1,Neuquén,15,88
519,2019,1,Río Negro,10,49
520,2019,1,Salta,10,38
521,2019,1,San Juan,5,84
522,2019,1,San Luis,8,71
523,2019,1,Santa Cruz,5,78
524,2019,1,Santa Fe,12,99
525,2019,1,Santiago Del Estero,6,42
526,2019,1,Tierra Del Fuego,6,34
527,2019,1,Tucumán,16,57
528,2018,4,Buenos Aires,16,93
529,2018,4,Capital Federal,22,94
530,2018,4,Catamarca,8,04
531,2018,4,Chaco,13,49
532,2018,4,Chubut,6,09
533,2018,4,Córdoba,15,81
534,2018,4,Corrientes,12,14
535,2018,4,Entre Ríos,11,02
536,2018,4,Formosa,9,82
537,2018,4,Jujuy,8,56
538,2018,4,La Pampa,4,32
539,2018,4,La Rioja,7,09
540,2018,4,Mendoza,5,75
541,2018,4,Misiones,12,50
542,2018,4,Neuquén,15,89
543,2018,4,Río Negro,10,49
544,2018,4,Salta,10,46
545,2018,4,San Juan,5,72
546,2018,4,San Luis,8,82
547,2018,4,Santa Cruz,5,12
548,2018,4,Santa Fe,13,18
549,2018,4,Santiago Del Estero,6,31
550,2018,4,Tierra Del Fuego,7,44
551,2018,4,Tucumán,16,58
552,2018,3,Buenos Aires,16,78
553,2018,3,Capital Federal,21,64
554,2018,3,Catamarca,7,81
555,2018,3,Chaco,12,89
556,2018,3,Chubut,6,08
557,2018,3,Córdoba,14,82
558,2018,3,Corrientes,11,49
559,2018,3,Entre Ríos,10,52
560,2018,3,Formosa,9,32
561,2018,3,Jujuy,7,67
562,2018,3,La Pampa,4,28
563,2018,3,La Rioja,6,16
564,2018,3,Mendoza,5,79
565,2018,3,Misiones,12,49
566,2018,3,Neuquén,14,67
567,2018,3,Río Negro,10,06
568,2018,3,Salta,9,27
569,2018,3,San Juan,5,74
570,2018,3,San Luis,8,81
571,2018,3,Santa Cruz,5,37
572,2018,3,Santa Fe,12,36
573,2018,3,Santiago Del Estero,5,78
574,2018,3,Tierra Del Fuego,5,99
575,2018,3,Tucumán,15,26
576,2018,2,Buenos Aires,14,68
577,2018,2,Capital Federal,18,94
578,2018,2,Catamarca,7,69
579,2018,2,Chaco,12,50
580,2018,2,Chubut,5,33
581,2018,2,Córdoba,13,88
582,2018,2,Corrientes,10,88
583,2018,2,Entre Ríos,10,19
584,2018,2,Formosa,8,97
585,2018,2,Jujuy,6,29
586,2018,2,La Pampa,4,10
587,2018,2,La Rioja,5,59
588,2018,2,Mendoza,5,88
589,2018,2,Misiones,11,76
590,2018,2,Neuquén,13,37
591,2018,2,Río Negro,9,51
592,2018,2,Salta,8,93
593,2018,2,San Juan,5,85
594,2018,2,San Luis,5,90
595,2018,2,Santa Cruz,5,19
596,2018,2,Santa Fe,11,75
597,2018,2,Santiago Del Estero,5,91
598,2018,2,Tierra Del Fuego,5,94
599,2018,2,Tucumán,13,51
600,2018,1,Buenos Aires,14,20
601,2018,1,Capital Federal,17,75
602,2018,1,Catamarca,8,20
603,2018,1,Chaco,12,44
604,2018,1,Chubut,5,42
605,2018,1,Córdoba,12,79
606,2018,1,Corrientes,11,12
607,2018,1,Entre Ríos,9,88
608,2018,1,Formosa,11,06
609,2018,1,Jujuy,6,74
610,2018,1,La Pampa,4,00
611,2018,1,La Rioja,5,89
612,2018,1,Mendoza,5,88
613,2018,1,Misiones,12,08
614,2018,1,Neuquén,11,96
615,2018,1,Río Negro,8,98
616,2018,1,Salta,9,19
617,2018,1,San Juan,5,85
618,2018,1,San Luis,5,89
619,2018,1,Santa Cruz,5,19
620,2018,1,Santa Fe,11,17
621,2018,1,Santiago Del Estero,6,25
622,2018,1,Tierra Del Fuego,5,77
623,2018,1,Tucumán,9,36
624,2017,4,Buenos Aires,12,97
625,2017,4,Capital Federal,15,20
626,2017,4,Catamarca,7,78
627,2017,4,Chaco,11,70
628,2017,4,Chubut,5,41
629,2017,4,Córdoba,11,64
